stock id,yf id
9930,9930.TW
9931,9931.TW
9933,9933.TW
9934,9934.TW
9935,9935.TW
9937,9937.TW
9938,9938.TW
9939,9939.TW
9940,9940.TW
9941,9941.TW
9942,9942.TW
9943,9943.TW
9944,9944.TW
9945,9945.TW
9946,9946.TW
9955,9955.TW
9958,9958.TW
2254,2254.TW
2258,2258.TW
2432,2432.TW
6423,6423.TW
6534,6534.TW
6645,6645.TW
6757,6757.TW
6771,6771.TW
6794,6794.TW
6854,6854.TW
6873,6873.TW
6902,6902.TW
6949,6949.TW
6951,6951.TW
8162,8162.TW
8487,8487.TW
0050,0050.TW
0051,0051.TW
0052,0052.TW
0053,0053.TW
0055,0055.TW
0056,0056.TW
0057,0057.TW
0061,0061.TW
9103,9103.TW
9105,9105.TW
9110,9110.TW
9136,9136.TW
1240,1240.TWO
1259,1259.TWO
1264,1264.TWO
1268,1268.TWO
1336,1336.TWO
1565,1565.TWO
1569,1569.TWO
1570,1570.TWO
1580,1580.TWO
1584,1584.TWO
1586,1586.TWO
1591,1591.TWO
1593,1593.TWO
1595,1595.TWO
1599,1599.TWO
1742,1742.TWO
1777,1777.TWO
1781,1781.TWO
1784,1784.TWO
1785,1785.TWO
1788,1788.TWO
1796,1796.TWO
1799,1799.TWO
1813,1813.TWO
1815,1815.TWO
2035,2035.TWO
2061,2061.TWO
2063,2063.TWO
2064,2064.TWO
2065,2065.TWO
2066,2066.TWO
2067,2067.TWO
2070,2070.TWO
2073,2073.TWO
2221,2221.TWO
2230,2230.TWO
2235,2235.TWO
2596,2596.TWO
2640,2640.TWO
2641,2641.TWO
2643,2643.TWO
2718,2718.TWO
2719,2719.TWO
2724,2724.TWO
2726,2726.TWO
2729,2729.TWO
2732,2732.TWO
2734,2734.TWO
2736,2736.TWO
2740,2740.TWO
2743,2743.TWO
2745,2745.TWO
2752,2752.TWO
2754,2754.TWO
2755,2755.TWO
2756,2756.TWO
2916,2916.TWO
2924,2924.TWO
2926,2926.TWO
2937,2937.TWO
2941,2941.TWO
2947,2947.TWO
2948,2948.TWO
2949,2949.TWO
3064,3064.TWO
3066,3066.TWO
3067,3067.TWO
3071,3071.TWO
3073,3073.TWO
3078,3078.TWO
3081,3081.TWO
3083,3083.TWO
3085,3085.TWO
3086,3086.TWO
3088,3088.TWO
3093,3093.TWO
3095,3095.TWO
3105,3105.TWO
3114,3114.TWO
3115,3115.TWO
3118,3118.TWO
3122,3122.TWO
3128,3128.TWO
3131,3131.TWO
3141,3141.TWO
3147,3147.TWO
3152,3152.TWO
3162,3162.TWO
3163,3163.TWO
3169,3169.TWO
3171,3171.TWO
3176,3176.TWO
3178,3178.TWO
3188,3188.TWO
3191,3191.TWO
3202,3202.TWO
3205,3205.TWO
3206,3206.TWO
3207,3207.TWO
3211,3211.TWO
3213,3213.TWO
3217,3217.TWO
3218,3218.TWO
3219,3219.TWO
3221,3221.TWO
3224,3224.TWO
3226,3226.TWO
3227,3227.TWO
3228,3228.TWO
3230,3230.TWO
3232,3232.TWO
3234,3234.TWO
3236,3236.TWO
3252,3252.TWO
3259,3259.TWO
3260,3260.TWO
3264,3264.TWO
3265,3265.TWO
3268,3268.TWO
3272,3272.TWO
3276,3276.TWO
3284,3284.TWO
3285,3285.TWO
3287,3287.TWO
