代號,證券商名稱,地址
5862,盈溢-楠梓,高雄市楠梓區楠都東街181號地下室
5920,元富,台北市復興南路1段209號1、2、3樓
5921,元富-高雄,高雄市九如二路548號2、3樓
5922,元富-新店,新北市新店區中興路3段134號地下一樓
5923,元富-三重,新北市三重區重新路2段21號3樓
5925,元富-台中,台中市五權西路一段二三七號二樓
5927,元富-林園,高雄縣林園鄉沿海路3段2號2樓、5樓
5928,元富-新莊,新北市新莊區新泰路368號1、2樓
5929,元富-台南,台南市忠義路2段47號3.4.5(營業廳設於3F)
592A,元富-緯城,高雄市博愛一路391號8樓及11樓(營業廳設於8F)
592B,元富-永和,新北市永和區民有街1號2樓
592C,元富-潮州,"屏東縣潮州鎮新生路8號1,2樓(略)"
592D,元富-大昌,高雄市三民區九如一路502號地下一層
592E,元富-城中,台北市承德路一段十七號地下一樓
592G,元富-新竹,新竹市信義街68號7樓之1、7樓之2
592H,元富-信義,台北市信義路2段101號2樓
592I,元富-嘉義,嘉義市垂楊路316號3樓之1、2；4樓之1、2
592L,元富-中壢,桃園縣中壢市元化路226號3樓
592M,元富-彰化,彰化市彰美路1段186號6F
592N,元富-虎尾,雲林縣虎尾鎮中正路15號三.四樓
592P,元富-同大,高雄市岡山區岡山路四三四號三樓
592Q,元富-敦南,台北市忠孝東路4段212號3樓、3樓之1
592S,元富-基隆,基隆市愛四路60號4、5樓
592U,元富-宜蘭,宜蘭縣宜蘭市舊城北路23號
592W,元富-吉利,台北市承德路7段348號1樓、地下1樓
592X,元富-草屯,南投縣草屯鎮和興街92號92之1號1(略)
592Y,元富-埔里,南投縣埔里鎮南昌街231號2樓
592Z,元富-安南,台南市安中路二段三００號八樓
592a,元富-松德,台北市松德路16號地下1樓
592b,元富-板橋,新北市板橋區三民路1段216號9樓
592c,元富-烏日,台中縣烏日鄉三民街179號4樓
592g,元富-中原,台中市潭子區中山路2段281號3樓
592i,元富-中港,台中市清水區中山路196號5、6樓
592l,元富-大裕,台中市台中路504號
592m,元富-成功,台南市成功路四五七號三樓、四樓
592n,元富-西松,台北市南京東路5段108號3樓
592o,元富-新興,高雄市新興區七賢一路251號2樓
592q,元富-屏東,屏東市中正路一二三號二樓
592r,元富-城東,台北市中山區南京東路二段一二三號一樓(略)
592u,元富-世貿,台北市信義路4段456號地下1樓
592v,元富-桃園,桃園縣桃園市成功路2段1號2樓
592w,元富-佳里,台南市佳里區和平街83號4樓、5樓
592y,元富-花蓮,花蓮市民國路167號
592z,元富-文心,台中市文心路2段645號2樓及4樓之2
5960,日茂,南投縣草屯鎮草溪路1020號2樓(略)
5961,日茂-埔里,南投縣埔里鎮西安路一段299號B1.1F.2F.
5962,日茂-南投,南投縣南投市三和二路11號4、5樓
6010,犇亞證券,台北市復興北路99號3樓、6樓及6樓之1
6012,犇亞-網路,台北市松山區復興北路99號4樓之3
6110,台中商銀,台中市民族路45號1、2樓
6114,台中商銀-員林,彰化縣員林鎮中正路462號3樓
6115,台中商銀-台北,台北市忠孝東路一段85號4樓之1及4樓之3
6116,台中商銀-中壢,桃園縣中壢市中美路一段18號2樓
6160,中國信託,台北市南港區經貿二路168號3樓
6161,中國信託-三重,新北市三重區重陽路一段66號2樓
6162,中國信託-忠孝,台北市中正區忠孝西路一段6號4樓
6163,中國信託-永康,台南縣永康市中華路425號2樓部分
6164,中國信託-文心,台中市北屯區文心路四段八七五號三樓部分
6165,中國信託-新竹,新竹市民族路139號2樓
6167,中國信託-松江,台北市中山區松江路220號3樓之1
6168,中國信託-嘉義,嘉義市西區文化路169號4樓
616K,中國信託-高雄,高雄市前金區中正四路168號6樓之1
6210,新百王,高雄市前金區中華三路11號5樓及地下一樓
